Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F007459,18602,Prosciutto,1224,1224,43.5,30.8,18.8,0,0.3,0,10,1700,0,0
F008112,18501,"Sausage, beef, raw",987,987,61.6,14.5,18.7,0,0.4,0,13,740,0,0.37
F008106,18501,"Sausage, beef, fried, no added fat",947,945,59.8,16.4,16.2,0,0.4,0,11,788,1,0.5
F008107,18501,"Sausage, beef, grilled, no added fat",911,909,60,17.2,14.9,0,0.4,0,9,795,1,0.5
F008126,18603,"Sausage, chorizo, uncooked",1183,1179,51.5,20.1,22.1,0,0.8,0.1,12,1100,0,0
F008125,18603,"Sausage, chorizo, fried, no added fat",1245,1241,48.9,21.2,23.3,0,0.8,0.1,11,868,0,0
F009450,18606,"Sausages & vegetables, canned",283,276,82.8,4,2.1,0,2.2,0.6,10,320,0,0
F009452,18606,"Steak & vegetables, canned",258,249,84.4,4.4,1.9,0,1.8,1,12,320,0,0
F008233,15501,"Shark, battered, deep-fried, takeaway outlet",1090,1079,54.2,15.5,14.5,0,1.5,0,11,295,0,3.1
F003950,15501,"Fish, white flesh, battered, packaged frozen, baked, no added fat",820,816,55,12.2,7,0,1.6,0,21,383,0,3.22
F003954,15501,"Fish, white flesh, crumbed, packaged frozen, baked, no added fat",856,852,57.1,11.8,10,0,1.7,0,21,383,0,3.22
F003907,15501,"Fish, battered or crumbed, from takeaway outlet, deep fried, blended frying fat, ready to eat",1006,1005,51.1,15.2,13.2,0,0.6,0,21,406,0,0.21
F003897,15501,"Fish finger, crumbed, purchased frozen, raw",924,916,57.3,12.1,11.6,0,1.5,0,13,300,0,0.45
F003896,15501,"Fish finger, crumbed, purchased frozen, grilled, no added fat",1050,1040,51.5,13.8,13.2,0,1.7,0,15,341,0,0.51
